1/1/2014,4/1/2014,5/1/2014,8/1/2014,11/1/2014,12/1/2014,15/1/2014,18/1/2014,19/1/2014,22/1/2014,25/1/2014,26/1/2014,29/1/2014,1/2/2014,2/2/2014,5/2/2014,8/2/2014,9/2/2014,12/2/2014,15/2/2014,16/2/2014,19/2/2014,22/2/2014,23/2/2014,26/2/2014,1/3/2014,2/3/2014,5/3/2014,8/3/2014,9/3/2014,12/3/2014,15/3/2014,16/3/2014,19/3/2014,22/3/2014,23/3/2014,26/3/2014,29/3/2014,30/3/2014,2/4/2014,5/4/2014,6/4/2014,9/4/2014,12/4/2014,13/4/2014,16/4/2014,19/4/2014,20/4/2014,23/4/2014,26/4/2014,27/4/2014,30/4/2014,3/5/2014,4/5/2014,7/5/2014,10/5/2014,11/5/2014,14/5/2014,17/5/2014,18/5/2014,21/5/2014,24/5/2014,25/5/2014,28/5/2014,31/5/2014,1/6/2014,4/6/2014,7/6/2014,8/6/2014,11/6/2014,14/6/2014,15/6/2014,18/6/2014,21/6/2014,22/6/2014,25/6/2014,28/6/2014,29/6/2014,2/7/2014,5/7/2014,6/7/2014,9/7/2014,12/7/2014,13/7/2014,16/7/2014,19/7/2014,20/7/2014,23/7/2014,26/7/2014,27/7/2014,30/7/2014,2/8/2014,3/8/2014,6/8/2014,9/8/2014,10/8/2014,13/8/2014,16/8/2014,17/8/2014,20/8/2014,23/8/2014,24/8/2014,27/8/2014,30/8/2014,31/8/2014,3/9/2014,6/9/2014,7/9/2014,10/9/2014,13/9/2014,14/9/2014,17/9/2014,20/9/2014,21/9/2014,24/9/2014,27/9/2014,28/9/2014,1/10/2014,4/10/2014,5/10/2014,8/10/2014,11/10/2014,12/10/2014,15/10/2014,18/10/2014,19/10/2014,22/10/2014,25/10/2014,26/10/2014,29/10/2014,1/11/2014,2/11/2014,5/11/2014,8/11/2014,9/11/2014,12/11/2014,15/11/2014,16/11/2014,19/11/2014,22/11/2014,23/11/2014,26/11/2014,29/11/2014,30/11/2014,3/12/2014,6/12/2014,7/12/2014,10/12/2014,13/12/2014,14/12/2014,17/12/2014,20/12/2014,21/12/2014,24/12/2014,27/12/2014,28/12/2014,31/12/2014
2468,1781,475,2024,1644,8087,3370,4215,5908,9523,5314,6804,6397,8614,2674,2402,4253,2336,1648,8183,2761,2655,3677,2320,1242,6588,8214,3996,2700,1890,6857,5434,4994,5954,6275,1154,2031,5970,8448,4792,6194,5558,1512,485,4199,4121,1298,6871,8220,5137,2638,8365,3349,9790,9409,5666,8341,6734,6961,6052,2301,9262,3795,194,4852,6300,6703,4114,5020,2661,1397,7047,8526,2866,689,9328,6738,5646,4366,203,6776,3840,8446,7303,3787,7949,4824,9169,4989,8644,2185,7452,5281,2174,9568,9906,5760,9215,2145,1291,9584,8373,8535,4541,5538,4178,3031,1578,8141,5445,1430,2479,7289,4518,1325,289,4859,2574,4339,0,5400,7577,202,7782,5016,4244,2587,3811,578,6531,1800,3725,2158,5090,23,9387,5589,1776,6982,3704,5622,562,1672,4211,2687,390,2499,2149,2796,4750,3759,6182,5495,8185,7467,2711,8071
8131,9756,2694,6589,2534,218,52,5818,129,3093,2723,7870,7142,1621,7828,877,5250,2394,668,4938,7543,7238,4395,2517,1255,4398,1092,1081,1527,853,8225,7884,7463,7289,4297,1869,5847,8469,5835,4770,3825,2537,9793,3290,7090,3086,7358,8767,3316,8112,5396,9060,1447,8573,3894,236,750,8384,2277,9523,5223,5397,1705,187,6317,9175,5534,1844,957,8630,5941,7067,3647,4703,1456,895,3294,4272,6807,3863,109,1054,981,5773,1042,3335,8552,3092,1585,1898,7570,6373,4023,7474,1683,5250,9128,9224,577,6860,1169,1736,8935,9953,3380,2886,0,5174,1778,8809,6725,6188,4078,9916,2998,7313,1437,5407,7664,9304,3228,4314,1972,2517,8497,8052,5890,6155,5771,6459,2787,7262,9418,3223,2165,7060,298,9274,1831,2476,2272,2078,4746,5807,1917,9148,4826,6371,1767,4599,9180,8659,7724,4358,3746,2818,2701
7931,4766,2506,7939,1997,1328,6063,3661,9639,8351,4184,8958,6322,1552,6222,4045,1676,7893,5759,2181,783,1690,6230,8262,513,4886,582,9475,6439,5916,8841,7666,2741,6780,5203,5479,8041,7863,8723,6763,8674,6,4280,235,4364,2617,1180,8160,4294,4017,391,2089,7686,8362,8556,6850,7245,3851,4156,2351,2131,4836,3213,2438,9840,5976,3750,2583,3336,3438,4726,3961,8513,2561,7473,2045,8212,5792,1499,9535,1773,9880,9416,117,2630,176,5036,6827,111,2634,1892,657,7988,6434,3964,8111,6501,1384,3567,4371,6961,2520,3261,1227,6196,3240,1578,7979,99,8611,543,5308,8451,9163,8674,5315,7129,3002,8696,1452,4714,147,1320,3995,837,6931,7201,9288,9718,5711,871,3258,461,2780,7046,126,2737,4107,1436,7051,5557,3816,9679,3552,4977,9981,2373,8658,6580,3679,7553,1124,8940,4248,7641,834,2017
458,1228,2265,783,2693,1283,1010,11,1687,173,1328,460,608,1184,858,629,905,813,110,322,62,145,1530,1008,50,925,697,59,81,1804,788,2000,567,374,1027,596,942,848,1965,4424,622,2464,253,153,520,1545,1084,920,426,631,1163,15,602,891,1116,685,192,1557,2381,1295,492,840,266,303,772,836,1991,696,254,575,240,2913,1112,1523,255,701,1133,217,670,324,1206,2377,255,885,1223,2479,381,451,435,849,1328,209,382,1213,857,424,752,605,668,522,306,307,182,398,340,33,540,108,1596,4105,845,54,187,530,372,2220,582,924,475,229,162,352,170,34,2730,915,2015,84,380,812,367,347,2168,179,618,287,194,383,2405,1918,21,410,975,3360,18,1651,66,1564,691,1773,92,802,986,760,541,2027,372
2979,1565,2373,2135,5796,2640,3842,1956,2126,1250,1477,1189,2868,1860,874,1566,1292,1960,2072,789,2217,958,1540,1625,95,1094,1017,802,241,2365,818,2048,824,379,1244,2152,1135,1132,3706,4579,912,2578,816,160,1315,2089,2517,3666,770,2600,1293,1828,852,1199,1512,1491,1133,2027,3281,2872,2110,1813,1129,1110,1289,1339,2356,1500,334,968,791,2952,1724,3133,3342,1538,1184,798,698,449,3071,4766,1195,1066,3279,4831,484,1042,621,975,1802,525,1005,1904,2939,715,1111,1335,1788,2483,1271,1173,549,1567,350,143,1000,2417,2039,5058,3172,178,877,2012,1805,3091,1264,2027,961,311,1907,1686,1346,4777,3845,1190,2567,270,799,1047,1044,945,2634,733,642,380,501,1077,2773,2197,1359,885,1734,3585,1173,3558,1438,3425,1207,2504,1132,1533,3724,905,1234,2664,1090
3083,1589,2675,3286,6253,3310,4120,3900,2204,3343,2616,2851,2966,3200,2518,2031,2262,2558,2870,915,2453,2561,1741,3793,353,1417,1121,2587,4872,3559,2188,2144,2192,841,1438,2763,2373,3357,4254,4686,1259,3038,835,819,2432,3542,2557,5276,1042,3016,2656,2031,1055,4106,1554,2942,1852,4694,3742,3022,2195,2162,2997,1510,1647,2509,2405,2241,1574,3535,1878,5295,1993,3989,3864,5934,2079,1118,1588,2579,3743,5281,1247,1200,4422,5557,831,3272,1845,1722,2223,4209,2178,2557,3982,1515,4857,1549,5537,2783,2455,2480,595,2415,1155,203,1516,4407,5209,5484,4446,711,3643,2361,3772,6248,3066,2799,1731,1214,2286,1851,2361,5115,4792,4166,2980,2324,1100,3394,2156,1360,2639,2338,1598,2760,727,1531,3166,2745,1747,1275,2493,4773,2137,4148,2078,3539,1383,3099,2836,1706,4036,908,2151,3133,1164
3753,1691,4740,3437,6486,4363,5288,5745,2996,4936,4131,5104,4797,3358,3156,3186,3312,2664,3331,1217,2483,2750,2673,4768,1149,2969,3352,3127,5416,4475,3366,3919,2319,2401,4460,4256,2638,5978,4416,6572,1424,4162,1775,935,3091,4720,2578,5483,1252,3657,3952,3179,1217,6108,2886,3439,2969,6355,7167,3088,6138,2376,3171,2387,2289,3023,3888,3167,2298,4254,1879,5790,3193,4509,5718,6220,2775,1225,4634,2699,4556,5724,2066,1206,4694,5629,2917,3448,2153,2591,2333,5475,3561,2722,4064,2420,6398,2352,5760,3800,4126,3762,764,2685,1783,567,2406,4946,6332,5807,5460,1056,4423,4251,4389,7267,3310,4106,2186,1330,2482,2489,4792,5650,5801,5135,3012,3689,1284,6077,3082,2756,2677,4374,2178,3472,752,2312,3480,3236,2456,2171,3149,4968,2338,4816,2767,3750,1858,5315,3611,1778,4302,1739,2183,3176,3303
4359,2222,6899,4984,6647,4955,6203,5832,4202,5271,5743,6439,5396,3676,4053,3240,3633,3573,3572,1686,3586,4281,3024,5209,2254,3791,4071,3519,8080,6407,3533,4701,2409,2845,4882,4439,3078,6055,4593,6943,2011,4530,2656,2339,3678,5833,3448,5808,1339,5417,5741,4601,3520,8058,6929,4375,3518,6726,8369,4470,6859,2877,3903,3283,3330,3407,4810,3327,3033,4621,3703,6516,3437,4824,5943,6524,2782,2428,7529,3560,4646,5761,3354,1852,4858,6374,5055,4565,2651,3303,6280,5653,3907,3031,5290,3953,6678,5818,6841,4885,4295,4359,791,3139,5741,1394,3566,5572,6351,6006,5558,1288,4714,5109,5149,8178,4538,4514,2222,1923,3748,3565,4859,5716,6532,5974,3569,4765,2185,6927,3863,2765,4081,4554,2456,3692,2288,2857,4365,4000,3737,6135,5231,5037,3940,5666,3205,4867,2827,6300,4773,3741,5852,6124,4032,3526,6599
4569,2430,7412,6730,7099,4979,6962,7234,5222,5336,6092,7310,5841,3821,4340,5245,5585,4530,3646,4698,7201,4703,5800,6048,2853,3917,4189,4189,8519,9118,5811,4947,3423,3363,4954,4710,4103,6511,7016,8087,2463,5347,2666,3064,4747,5926,6059,6393,4995,7028,6523,4796,3872,8361,8004,5502,4313,7698,8455,6019,7527,4933,4381,3829,4547,3531,5452,4325,3187,5649,4292,6991,4558,5507,7631,7511,4019,4156,7949,3671,4785,7328,4865,3113,5107,7414,5749,5171,3306,4599,7166,5975,6069,3601,6902,5940,7535,7172,6978,6375,5458,4849,4299,4146,5914,3942,3865,6009,6621,6472,5760,3528,6006,5873,5403,8195,4796,5903,3547,2081,3994,4557,5454,7302,7539,6414,4331,7017,2966,6962,3910,3321,4100,6567,5719,4723,2670,3668,5448,4319,4038,7841,5484,5880,4749,6148,4179,5028,3379,7206,5431,4946,5866,7131,6769,4515,6809
5141,2466,7717,7960,8304,6586,8309,7249,6115,6963,6158,7994,6479,4199,5527,7398,5778,6736,4457,5001,7950,5583,7525,6391,2998,5313,6670,6104,9206,9368,6676,8405,5781,4828,4975,4728,8529,6610,7204,8231,2543,7661,3825,6782,6265,6193,6515,6553,6950,8160,6768,5211,5632,9587,8110,7017,5853,7761,8769,6508,7771,5710,4692,4324,5930,7309,7255,4862,4604,5910,5537,7100,6967,6060,7766,7526,4297,5652,8007,5633,4902,8250,5211,3440,6078,9044,6762,6180,3405,4735,8779,6495,7110,3809,6906,6123,7820,8956,7466,6605,6175,7994,7566,4827,6536,4546,4790,6116,6838,6843,6290,3856,6074,6288,7337,8205,5096,6149,5626,2452,4607,4940,5934,7308,9042,6664,5019,7509,4893,7030,7193,4313,5283,6714,6462,6087,4095,5121,6645,5088,5909,8222,7125,6144,5314,8001,4297,5490,5592,7806,6167,5038,6715,7228,6893,6534,7405
